time;A_temp;A_hum;B_temp;B_hum;EXT_temp;EXT_hum
"2019-12-31 23:30:00";15.6;90;15.4;99.9;4.4;87.7
"2019-12-31 23:00:00";16.8;85.2;15.2;99.9;4.3;88.7
"2019-12-31 22:30:00";15.7;89.3;15.4;99.9;4.6;87.6
"2019-12-31 22:00:00";15.6;91.6;15.2;99.9;4.8;85.7
"2019-12-31 21:30:00";15.6;91.2;15.2;99.9;5.1;85.9
"2019-12-31 21:00:00";15.4;90.2;15.2;99.9;5.3;86.4
"2019-12-31 20:30:00";15.4;89.6;15.2;99.9;5.7;85.3
"2019-12-31 20:00:00";15.3;89.9;15.3;99.9;5.7;85.4
"2019-12-31 19:30:00";15.3;89.2;15.2;99.9;6.3;84.7
"2019-12-31 19:00:00";15.3;88.8;15.2;99.9;6.3;84.5
"2019-12-31 18:30:00";15;88.9;15.3;99.9;6.3;84.5
"2019-12-31 18:00:00";15;88.3;15.3;99.9;5.9;83.3
"2019-12-31 17:30:00";15;86.2;15.2;99.9;6.5;80.1
"2019-12-31 17:00:00";15.1;84.8;14.9;99.9;7.3;77.9
"2019-12-31 16:30:00";15.4;81.8;14.8;99.9;8.4;70.2
"2019-12-31 16:00:00";15;82.3;14.9;99.9;9;63.5
"2019-12-31 15:30:00";15;81.6;15;99.9;10;57.8
"2019-12-31 15:00:00";15;76.7;15;99.9;10.2;56.9
"2019-12-31 14:30:00";15.5;80.1;15;99.9;9.6;60.4
"2019-12-31 14:00:00";15.3;80.8;15;99.9;8.6;61.5
"2019-12-31 13:30:00";14.6;84.3;14.8;99.9;10.6;53.1
"2019-12-31 13:00:00";14.6;85.1;14.9;99.9;11.2;53.6
"2019-12-31 12:30:00";14.6;82.8;14.9;99.9;11.7;53.2
"2019-12-31 12:00:00";14.4;81.3;15;99.9;11.6;53
"2019-12-31 11:30:00";14.6;82.6;15.1;99.9;12.5;56.7
"2019-12-31 11:00:00";14.6;81.5;15;99.9;6.7;70.8
"2019-12-31 10:30:00";14.9;85.8;15.2;99.9;3.7;82.7
"2019-12-31 10:00:00";15.3;92.4;15.5;99.9;5.7;67.6
